"Listing Pictures","Listing ID #","Class","PropClass","Area/City","Community","Address","Postal Code","Status","Price","DOM"
"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225257472/0/120/90/01afb1ae0546e07dfdaae2d36e8b9bce/1/7a2d31bf8e4da0ad0f3f6a58939bfe15/225257472.JPG","E4344652","RE","SF","St. Albert","Lacombe Park","59 LARKSPUR Crescent","T8N 2M4","X","$469,000","62"
"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225235847/0/120/90/3dfda0d746b170cc1483168c44318fde/1/ec46bf04800897445f7f4a2d7b2ba44d/225235847.JPG","E4323027","RE","SF","Beaumont","Elan","6920 52 Avenue","T4X 1V5","X","$469,900","213"
"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225257667/0/120/90/85cf3e11a6bf27b32d00b45c90205278/1/cd43b2f48edcd7b4cf1c5a70ca96d987/225257667.JPG","E4344847","RE","SF","Stony Plain","Lake Westerra","1926 WESTERRA Lane","T7Z 0L3","X","$474,900","62"
"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225248013/0/120/90/12d69fe3bbcfa83995225755cf66e0c2/1/b99774ffb783628cab5d771f52c89695/225248013.JPG","E4335193","RE","SF","St. Albert","Deer Ridge (St. Albert)","96 DUFFERIN Street","T8N 5R7","X","$479,900","111"
"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225251225/0/120/90/01da901d2acbfdcc9a5b929af59f86c7/1/93d51d41d8582418decc01a3cedb735a/225251225.JPG","E4338405","RE","SF","Sherwood Park","Crystal Heights (Sherwood Park)","49 CRYSTAL Way","T8H 1T9","X","$494,900","93"
"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225247828/0/120/90/55b76608b1bd7cb6e3670d1a3048cdba/1/8d68c42a87cb07199b7da8968b1f3495/225247828.JPG","E4335008","RE","SF","Spruce Grove","McLaughlin_SPGR","8 MEADOWBROOK Way","T7X 0T8","X","$509,000","112"
"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225251909/0/120/90/a6874fbf4ee4024c48a6451a4a4be57d/1/a253d0b7c6ed6bd2bb66a9d38a49cc06/225251909.JPG","E4339089","RE","SF","Morinville","None","9522 107 Avenue","T8R 0C7","X","$509,900","93"
"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225260230/0/120/90/2ba1bbd6999d03f982d921d0f7e383c2/1/998cd4c241009b3d339d3a8a8d26fe68/225260230.JPG","E4347410","RE","SF","Spruce Grove","Harvest Ridge","131 HEMINGWAY Crescent","T7X 2X1","T","$519,900","44"
"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225258603/0/120/90/7472d99f51a6e49ade15ecb837307524/1/b3979ae08be85ab009c171e9a0f97b9f/225258603.JPG","E4345783","RE","SF","Leduc","Meadowview Park_LEDU","823 Morris Avenue","T9E 1G1","T","$529,900","50"
"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225251725/0/120/90/c1c1b1d447b25dc551b5347b40ae4f97/1/ddb04fd0f3682697027678f121ae53c1/225251725.JPG","E4338905","RE","SF","Leduc","Southfork","424 SIMPKINS Link","T9E 1B3","X","$537,400","90"
"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225251727/0/120/90/14631b42a7f94f040aff65f69a02c97b/1/7aa5a3327bc5df0565e94b0390bab14f/225251727.JPG","E4338907","RE","SF","Leduc","Southfork","426 SIMPKINS Link","T9E 1B3","X","$537,400","90"
"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225248786/0/120/90/61e0849a6595394d6499f7795a068213/1/dbf2b30ac8522785e6a6348a5788a45c/225248786.JPG","E4335966","RE","SF","Leduc","Southfork","183 STURTZ Bend","T9E 1E1","X","$545,000","107"
"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225246698/0/120/90/0df0846525254ad4ffc00c09467949ea/1/ef6fa6d3f1d1a24e434b0d8f9b341365/225246698.JPG","E4333878","RE","SF","Spruce Grove","Fenwyck","49 BRUNSWYCK Crescent","T7X 3M1","X","$549,000","121"
"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225252444/0/120/90/859398095f041264f5cef8fa04526b4c/1/c3cd7be50c6c29b51433e83d18efa43b/225252444.JPG","E4339624","RE","SF","St. Albert","Kingswood","8 Kingswood Drive","T8N 5M2","X","$549,900","93"
"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225259733/0/120/90/ae1ce05825125fddf632247d748e39e5/1/4ffdd4d267e3af04066ec65b8669b4b4/225259733.JPG","E4346913","RE","SF","St. Albert","Kingswood","22 Kingsborough Court","T8N 5M5","T","$549,900","41"
"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225259967/0/120/90/53cf769af5f6cba3caadfa88cae4fe1f/1/026d6e970422d5c16b382124e182b789/225259967.JPG","E4347147","RE","SF","Devon","Devon","1058 OAKLAND Court","T9G 2H2","T","$549,999","38"
"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225239654/0/120/90/50203fd9db5c424ee3903fc8c73f61bd/1/a84336a903dcdb6dd9a9285183ff9b70/225239654.JPG","E4326834","RE","SF","Sherwood Park","Sherwood Heights","232 Cottonwood Avenue","T8A 1Y2","X","$554,950","175"
"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225251416/0/120/90/cd093c04725653e2af93fc5636a2300e/1/4712b0533aa97cb3d097e59ca28471b9/225251416.JPG","E4338596","RE","SF","Devon","Devon","626 ASTORIA Way","T9G 0M3","X","$569,000","90"
"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225250570/0/120/90/8fe7530c26c26c5d15f25a543f638aaa/1/8b85c7342ee86d6d1b06b8884768f15b/225250570.JPG","E4337750","RE","SF","Fort Saskatchewan","South Fort","14 STARLING Way","T8L 0Y1","X","$574,000","96"
"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225250647/0/120/90/d03f39fa98962f276f3defbd5dbcfe85/1/b91aefa65e039a6f377b2ccbb4812dd8/225250647.JPG","E4337827","RE","SF","Fort Saskatchewan","South Fort","18 STARLING Way","T8L 0Y1","X","$579,000","95"
"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225257654/0/120/90/ea8e17edc137f4b1615cd3f7dd424cea/1/e28f95564011e7a4ec60c544bff14f1b/225257654.JPG","E4344834","RE","SF","St. Albert","Erin Ridge","5 ESCALLIER Place","T8N 5T1","T","$599,900","60"
"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225254685/0/120/90/a1897e81baf59daf25fd9c0d48487328/1/13fb96aab0f8246c3be692689d18d79b/225254685.JPG","E4341865","RE","SF","Beaumont","Eaglemont Heights","5110 RUE EAGLEMONT Street","T4X 0H0","X","$604,900","71"
"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225260082/0/120/90/6202e17ba20b06d74307815925baf566/1/ed207ea1e2a8778b1da31d5bb841f8f0/225260082.JPG","E4347262","RE","SF","Spruce Grove","Prescott","13 PRESCOTT Boulevard","T7X 0R5","T","$609,000","43"
"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225235720/0/120/90/c30b30055eda340fc61b423532aed0e6/1/8144cb813e5a44f62e2586490768d2e2/225235720.JPG","E4322900","RE","SF","Fort Saskatchewan","South Fort","74 STARLING Way","T8L 0Y1","T","$637,000","219"
"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225238770/0/120/90/90a746cc80f24ef1a74b325a76f47c9c/1/aae1d298293bbbfbd1f4d5d8b5218a43/225238770.JPG","E4325950","RE","SF","St. Albert","Erin Ridge North","57 ENCORE Crescent","T8N 7W1","X","$649,900","183"
"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225254954/0/120/90/71837141621e291b8f93d0c8eaebf772/1/e1c90e98b0083558c25437425b488492/225254954.JPG","E4342134","RE","SF","Beaumont","Place Chaleureuse","5520 30 Avenue","T4X 2B4","T","$669,900","70"
"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225247565/0/120/90/10901d42395cd8766711a8d2f2c186f7/1/74dd9726f0d5a18c922b837b5e4e087d/225247565.JPG","E4334745","RE","SF","Sherwood Park","Heritage Hills","110 HERITAGE Terrace","T8A 6J5","T","$674,900","119"
"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225235661/0/120/90/6b068d9fbc346c35d0f51a12a54fc550/1/7572a1949bb03cf5a6c69e9c3fada5df/225235661.JPG","E4322841","RE","SF","St. Albert","Erin Ridge North","49 Evermore Crescent","T8N 4J6","X","$674,900","222"
"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225248501/0/120/90/f3ce31f45d653bdbff34f9c3525f03bc/1/588458e1f6c1ca16ee0e48b5968039da/225248501.JPG","E4335681","RE","SF","Fort Saskatchewan","Old Fort Saskatchewan","10113 107 Street","T8L 2H7","X","$699,000","109"
"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225256716/0/120/90/a5b7e762aec62d3b51011b560d3d7431/1/75e1e8e9d72e00e26ff9420182b42bf9/225256716.JPG","E4343896","RE","SF","Beaumont","Place Chaleureuse","5518 30 Avenue","T4X 2B4","T","$699,000","67"
"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225259142/0/120/90/2f0ea7d48d635c12639d7881d3c729a8/1/4b620613a654bf8476f9498ee4536fe6/225259142.JPG","E4346322","RE","SF","St. Albert","Oakmont","15 Orchard Court","T8N 6E6","T","$709,900","43"
"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225263360/0/120/90/e55af1186514db003034127d0ed9c9f6/1/b01ca8d835954c89947f3fa95788eb87/225263360.JPG","E4350540","RE","SF","St. Albert","Kingswood","57 KINGSMOOR Close","T8N 0S4","T","$729,900","21"
"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225245410/0/120/90/58a748ddede265119cb7e0394509d4dd/1/fefefcf7b967e6963273d1d04febd323/225245410.JPG","E4332590","RE","SF","St. Albert","North Ridge","55 NEWBURY Court","T8N 0P8","X","$744,900","130"
"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225249998/0/120/90/ae2825e87b499dd36cd870a6946d83fa/1/af9d9d55ac16655842b5be0f9e8be1d6/225249998.JPG","E4337178","RE","SF","St. Albert","Jensen Lakes","10 JENNIFER Crescent","T8N 7H5","X","$749,900","99"
"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225249889/0/120/90/be342bd62c667d279a50233b9950836c/1/d1edb219b7923f11e8edeb76944fc578/225249889.JPG","E4337069","RE","SF","Spruce Grove","Deer Park_SPGR","40 Dillworth CR","T7X 0E6","X","$750,000","100"
"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225254110/0/120/90/bad7cbda464b9be29e1dd70571e8fb75/1/1f7f269b5d03a525223845c5c0219ee4/225254110.JPG","E4341290","RE","SF","Spruce Grove","Stoneshire","50 LONGVIEW Drive","T7X 4R7","T","$759,000","76"
"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225256096/0/120/90/87fe3565ea91311281a7e874559f829f/1/5b2b0a98df157f8b15c83ca9e5880017/225256096.JPG","E4343276","RE","SF","Leduc","Windrose","97 WESTLIN Drive","T9E 0N7","X","$795,900","62"
"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225246505/0/120/90/204ffe943cb6f0307b1ff51d67910fb6/1/dd88dc4564ae4c280e642b95b0ce26df/225246505.JPG","E4333685","RE","SF","Fort Saskatchewan","Westpark_FSAS","26 VALE Terrace","T8L 0B1","X","$799,900","122"
